Stock Code,Total Quantity,Quantity Per Set,ReelingFee,UnitPrice,ExtendedPrice,error
nf,200,4,N/A,N/A,N/A,"
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product nf Not Found"",
                ""instance"": """",
                ""correlationId"": ""69f26fee-0869-4136-c62f-b93e760270fb"",
                ""errors"": {}
            }
        "
TMK105BJ104KV-F,2300,46,4.5,0.01042,23.958,N/A
CL21A106KAYNNNE,350,7,4.5,0.05286,18.5,N/A
RC0402FR-07953RL,50,1,4.5,0.0956,4.78,N/A
RC0402FR-073KL,900,18,4.5,0.0085,7.65,N/A
RMCF0402FT1K00,1150,23,4.5,0.00684,7.8695,N/A
CSRF1206FT10L0,400,8,4.5,0.17749,70.996,N/A
ERJ-2RKF1800X,150,3,4.5,0.0396,5.94,N/A
CRGCQ0402F4K7,350,7,4.5,0.02086,7.3,N/A
RMCF0402FT1K00,300,6,4.5,0.0203,6.09,N/A
RMCF0402FT1K00,150,3,4.5,0.0353,5.295,N/A
"PCA9534BS,118",100,2,4.5,1.0258,102.58,N/A
PCA9547BS_118,100,2,4.5,1.1083,110.83,N/A
74HC4067PW-Q100J,100,2,4.5,0.5763,57.63,N/A
INA181A3IDBVT,400,8,4.5,0.44445,177.78,N/A
MCP9843T-BE/ST,50,1,N/A,N/A,N/A,"
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Invalid resource path. Requested resource is not available"",
                ""instance"": """",
                ""correlationId"": ""1481e4b9-9504-4720-c3ba-7139e4a83b4b"",
                ""errors"": {}
            }
        "
RPM5,50,1,N/A,N/A,N/A,"
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product RPM5 Not Found"",
                ""instance"": """",
                ""correlationId"": ""c679fa8e-ae5b-462e-a11d-b5a5039443e3"",
                ""errors"": {}
            }
        "
L78L33CD-TR,50,1,4.5,0.2696,13.48,N/A
151031VS06000,200,4,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""52b7a8d5-1283-4cf8-a2e0-14305412840d"",
                ""errors"": {}
            }
        "
DRTR5V0U2SR-7,750,15,4.5,0.10334,77.505,N/A
2-644861-5,250,5,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""2af6dd32-2736-4a53-e8bd-60d9f5120178"",
                ""errors"": {}
            }
        "
2-644861-2,150,3,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""347c0eb1-90c3-4cee-ccd6-2fb0418fb940"",
                ""errors"": {}
            }
        "
2-644861-6,400,8,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""efc8c080-8417-4eb7-e127-1199988763e3"",
                ""errors"": {}
            }
        "
0ZRN0300FF1E,650,13,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""6e3a73f3-e658-43e5-87be-df1f452eae6d"",
                ""errors"": {}
            }
        "
0ZRN0300FF1E,200,4,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""864dbe83-febe-4aff-89ba-c7cd8654c37e"",
                ""errors"": {}
            }
        "
0ZRN0300FF1E,50,1,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""a5e5ea2c-6426-497e-cbde-d572f136843a"",
                ""errors"": {}
            }
        "
RUSBF110-2,400,8,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""08dc0d93-ab91-4198-f917-94148b8e2e48"",
                ""errors"": {}
            }
        "
NO FIT,200,4,N/A,N/A,N/A,"
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product NO FIT Not Found"",
                ""instance"": """",
                ""correlationId"": ""51530e88-525e-4cf4-dccc-30c454a13478"",
                ""errors"": {}
            }
        "
adafruit qt py,50,1,N/A,N/A,N/A,"
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product adafruit qt py Not Found"",
                ""instance"": """",
                ""correlationId"": ""5cf16e8f-17bc-428a-ea6a-45fc9f65c009"",
                ""errors"": {}
            }
        "
2-644861-3,100,2,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""44fa09c4-a990-449e-a823-2813fba3b6ec"",
                ""errors"": {}
            }
        "
L0603100GGSTR,100,2,4.5,0.3967,39.67,N/A
2-647123-9,50,1,N/A,N/A,N/A,"
            {
                ""type"": """",
                ""title"": ""This item is not eligible for Digi-Reel pricing."",
                ""status"": 400,
                ""detail"": """",
                ""instance"": """",
                ""correlationId"": ""5792ffad-b99b-46bf-e3ab-99bfefbb957c"",
                ""errors"": {}
            }
        "
NO FIT,50,1,N/A,N/A,N/A,"
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product NO FIT Not Found"",
                ""instance"": """",
                ""correlationId"": ""4fab49cd-9d47-4bd6-951c-709acf311829"",
                ""errors"": {}
            }
        "
